binary_package	binary_version	source_package	source_version
libgtk2.0-0	2.24.33-2+deb12u1	gtk+2.0	2.24.33-2+deb12u1
libgtk2.0-dev	2.24.33-2+deb12u1	gtk+2.0	2.24.33-2+deb12u1
libgudev-1.0-0	237-2	libgudev	237-2
libgudev-1.0-dev	237-2	libgudev	237-2
libharfbuzz-dev	6.0.0+dfsg-3	harfbuzz	6.0.0+dfsg-3
libharfbuzz-gobject0	6.0.0+dfsg-3	harfbuzz	6.0.0+dfsg-3
libharfbuzz-icu0	6.0.0+dfsg-3	harfbuzz	6.0.0+dfsg-3
libharfbuzz-subset0	6.0.0+dfsg-3	harfbuzz	6.0.0+dfsg-3
libharfbuzz0b	6.0.0+dfsg-3	harfbuzz	6.0.0+dfsg-3
libheif1	1.15.1-1+deb12u1	libheif	1.15.1-1+deb12u1
libhogweed6	3.8.1-2	nettle	3.8.1-2
libib-util	3.0.11.33637.ds4-2+deb12u1	firebird3.0	3.0.11.33637.ds4-2+deb12u1
libice-dev	2:1.0.10-1	libice	2:1.0.10-1
libice6	2:1.0.10-1	libice	2:1.0.10-1
libicu-dev	72.1-3+deb12u1	icu	72.1-3+deb12u1
libicu72	72.1-3+deb12u1	icu	72.1-3+deb12u1
libidn2-0	2.3.3-1+b1	libidn2	2.3.3-1
libinput-dev	1.22.1-1	libinput	1.22.1-1
libinput10	1.22.1-1	libinput	1.22.1-1
libip4tc2	1.8.9-2	iptables	1.8.9-2
libisl23	0.25-1.1	isl	0.25-1.1
libitm1	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
libjansson4	2.14-2	jansson	2.14-2
libjbig-dev	2.1-6.1	jbigkit	2.1-6.1
libjbig0	2.1-6.1	jbigkit	2.1-6.1
libjpeg62-turbo	1:2.1.5-2	libjpeg-turbo	1:2.1.5-2
libjpeg62-turbo-dev	1:2.1.5-2	libjpeg-turbo	1:2.1.5-2
libjson-c5	0.16-2	json-c	0.16-2
libjsoncpp25	1.9.5-4	libjsoncpp	1.9.5-4
libk5crypto3	1.20.1-2+deb12u4	krb5	1.20.1-2+deb12u4
libkadm5clnt-mit12	1.20.1-2+deb12u4	krb5	1.20.1-2+deb12u4
libkadm5srv-mit12	1.20.1-2+deb12u4	krb5	1.20.1-2+deb12u4
libkdb5-10	1.20.1-2+deb12u4	krb5	1.20.1-2+deb12u4
libkeyutils1	1.6.3-2	keyutils	1.6.3-2
libkmod2	30+20221128-1	kmod	30+20221128-1
libkrb5-3	1.20.1-2+deb12u4	krb5	1.20.1-2+deb12u4
libkrb5support0	1.20.1-2+deb12u4	krb5	1.20.1-2+deb12u4
libksba8	1.6.3-2	libksba	1.6.3-2
liblcms2-2	2.14-2	lcms2	2.14-2
libldap-2.5-0	2.5.13+dfsg-5	openldap	2.5.13+dfsg-5
liblerc-dev	4.0.0+ds-2	lerc	4.0.0+ds-2
liblerc4	4.0.0+ds-2	lerc	4.0.0+ds-2
libllvm14	1:14.0.6-12	llvm-toolchain-14	1:14.0.6-12
libllvm15	1:15.0.6-4+b1	llvm-toolchain-15	1:15.0.6-4
libltdl-dev	2.4.7-7~deb12u1	libtool	2.4.7-7~deb12u1
libltdl7	2.4.7-7~deb12u1	libtool	2.4.7-7~deb12u1
liblz4-1	1.9.4-1	lz4	1.9.4-1
liblzma-dev	5.4.1-1	xz-utils	5.4.1-1
liblzma5	5.4.1-1	xz-utils	5.4.1-1
liblzo2-2	2.10-2	lzo2	2.10-2
libmagic1	1:5.44-3	file	1:5.44-3
libmariadb-dev	1:10.11.14-0+deb12u2	mariadb	1:10.11.14-0+deb12u2
libmariadb3	1:10.11.14-0+deb12u2	mariadb	1:10.11.14-0+deb12u2
libmd0	1.0.4-2	libmd	1.0.4-2
libmd4c-dev	0.4.8-1	md4c	0.4.8-1
libmd4c0	0.4.8-1	md4c	0.4.8-1
libmount-dev	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
libmount1	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
libmp3lame0	3.100-6	lame	3.100-6
libmpc3	1.3.1-1	mpclib3	1.3.1-1
libmpfr6	4.2.0-1	mpfr4	4.2.0-1
libmpg123-0	1.31.2-1+deb12u1	mpg123	1.31.2-1+deb12u1
libmtdev-dev	1.1.6-1	mtdev	1.1.6-1
libmtdev1	1.1.6-1	mtdev	1.1.6-1
libncursesw6	6.4-4	ncurses	6.4-4
libnettle8	3.8.1-2	nettle	3.8.1-2
libnghttp2-14	1.52.0-1+deb12u2	nghttp2	1.52.0-1+deb12u2
libnpth0	1.6-3	npth	1.6-3
